Event,Data_Source,Depth [m],Latitude,Longitude,O. universa,G. conglobatus,G. ruber ruber,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. adamsi,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. humilis,T. quinqueloba,N. pachyderma,N. dutertrei,N. incompta,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. truncatulinoides,G. crassaformis,G. hirsuta,G. scitula,D. anfracta,G. tumida,G. cultrata,C. nitida,G. glutinata,G. eastropacia,T. iota,G. uvula
GeoB1008-3,margo,2.18,-6.5823,10.3186,92,0,11,10,0,7,0,,1,0,273,0,0,1,0,4,0,50,79,0,0,0,129,0,8,0,8,0,0,0,0,3,0,0,
GeoB1008-3,margo,2.23,-6.5823,10.3186,29,0,32,11,0,4,0,,2,4,83,0,11,0,0,5,0,40,72,0,0,0,159,2,8,0,9,0,0,0,0,11,4,0,
GeoB1008-3,margo,2.28,-6.5823,10.3186,39,0,21,4,0,7,0,,0,0,178,0,7,4,0,0,2,25,46,0,0,0,150,1,4,0,13,0,0,1,0,10,1,0,
GeoB1008-3,margo,2.33,-6.5823,10.3186,45,0,19,8,0,8,0,,4,0,96,0,0,0,0,0,0,27,89,0,0,0,153,1,10,0,15,0,0,0,1,4,5,0,
GeoB1008-3,margo,2.38,-6.5823,10.3186,20,0,19,24,0,4,0,,3,1,65,0,0,0,0,2,3,6,58,0,0,0,103,1,9,0,7,0,0,0,1,3,3,0,
GeoB1008-3,margo,2.43,-6.5823,10.3186,52,0,31,29,0,9,0,,6,0,107,0,0,0,0,0,0,11,63,0,0,0,43,1,4,0,18,0,0,0,1,8,10,0,
GeoB1008-3,margo,2.48,-6.5823,10.3186,42,1,8,25,0,9,0,,5,4,46,0,1,0,0,1,0,1,19,0,0,1,25,1,5,0,6,0,0,1,0,5,12,0,
GeoB1008-3,margo,2.53,-6.5823,10.3186,53,0,18,32,0,28,0,,4,2,237,0,6,6,0,2,3,23,71,0,0,1,54,0,34,0,32,0,0,0,0,7,8,0,
GeoB1008-3,margo,2.58,-6.5823,10.3186,59,0,39,38,0,8,0,,12,2,113,0,7,0,0,1,0,6,22,0,0,0,65,0,27,0,13,0,0,0,0,2,7,0,
GeoB1008-3,margo,2.63,-6.5823,10.3186,67,0,13,17,0,5,0,,2,4,245,0,2,4,0,0,4,11,85,0,0,2,121,0,15,0,9,0,0,0,2,2,8,0,
GeoB1016-3,margo,0.73,-11.7705,11.6819,95,0,10,6,2,8,0,,0,3,172,2,23,4,0,2,2,29,62,0,0,0,187,0,11,0,55,0,0,0,0,10,21,0,
GeoB1016-3,margo,0.78,-11.7705,11.6819,30,0,16,13,0,37,4,,5,0,26,0,8,3,0,2,0,26,28,0,0,0,115,0,5,0,6,0,4,8,0,15,7,0,
GeoB1016-3,margo,0.88,-11.7705,11.6819,84,0,20,22,0,4,0,,3,0,32,0,4,1,0,0,2,18,86,0,0,0,94,0,5,0,7,0,0,0,0,5,12,0,
GeoB1028-5,margo,0.93,-20.104,9.1858,4,0,0,6,0,0,0,,1,1,138,0,2,3,0,19,77,4,140,0,0,0,55,1,3,1,5,0,0,0,0,19,0,0,
GeoB1028-5,margo,1.03,-20.104,9.1858,27,0,0,4,0,0,0,,4,4,188,0,0,0,0,8,87,7,214,0,0,0,59,3,1,1,8,0,0,0,0,43,0,0,
GeoB1031-4,margo,0.28,-21.88,7.1017,15,2,5,19,0,0,0,,2,5,63,5,6,5,0,17,27,18,119,0,0,0,77,8,0,2,0,0,0,0,0,34,0,0,
GeoB1031-4,margo,0.33,-21.88,7.1017,16,1,4,13,7,1,0,,4,20,117,4,0,0,0,10,14,5,197,0,0,0,83,16,0,6,5,0,0,0,0,29,0,0,
GeoB1101-5,margo,0.33,1.6583,-10.98,12,3,3,61,0,93,0,,14,3,17,1,4,0,0,0,0,247,89,0,0,28,37,4,25,0,0,0,0,2,0,2,0,0,
GeoB1101-5,margo,0.38,1.6583,-10.98,14,5,0,24,1,76,0,,11,1,14,0,1,0,0,0,0,198,61,0,0,33,108,4,6,0,0,0,0,0,0,1,8,0,
GeoB1105-4,margo,0.78,-1.665,-12.4283,9,0,0,55,4,16,0,,6,3,95,5,0,13,0,0,3,37,77,0,0,0,119,8,12,0,5,0,0,0,0,37,0,0,
GeoB1112-4,margo,0.48,-5.7783,-10.75,15,2,8,77,0,69,0,,22,0,87,5,2,6,0,0,2,32,95,0,0,1,122,6,12,0,1,0,0,0,0,34,0,0,
GeoB1112-4,margo,0.58,-5.7783,-10.75,31,1,10,83,0,61,0,,18,6,78,3,2,1,0,4,2,36,83,0,0,0,124,10,14,0,0,0,0,0,0,32,0,0,
GeoB1115-4,margo,0.63,-3.5583,-12.58,22,1,24,80,3,44,0,,10,3,124,0,2,7,0,3,3,49,86,0,0,2,175,8,5,0,5,0,0,0,0,42,5,0,
GeoB1115-4,margo,0.68,-3.5583,-12.58,21,0,34,70,0,37,0,,11,6,128,0,0,2,0,0,0,90,31,0,0,0,130,4,11,2,8,0,0,0,0,38,1,0,
GeoB1117-2,margo,0.53,-3.815,-14.8967,11,0,9,58,1,79,0,,14,5,32,0,0,5,0,0,11,38,61,0,0,5,29,8,11,0,1,0,1,0,1,24,0,0,
